date,1. open,2. high,3. low,4. close,5. volume
2020-04-29 11:56:00,90.31,90.36,90.29,90.305,40775.0
2020-04-29 11:57:00,90.32,90.35,90.2501,90.28,14430.0
2020-04-29 11:58:00,90.29,90.3,90.2225,90.25,34179.0
2020-04-29 11:59:00,90.23,90.255,90.22,90.23,8331.0
2020-04-29 12:00:00,90.18,90.2,90.13,90.15,6020.0
2020-04-29 12:01:00,90.17,90.18,90.11,90.175,15272.0
2020-04-29 12:02:00,90.17,90.24,90.14,90.18,8363.0
2020-04-29 12:03:00,90.2035,90.21,90.1202,90.125,11770.0
2020-04-29 12:04:00,90.12,90.165,90.08,90.08,9845.0
2020-04-29 12:05:00,90.09,90.13,90.08,90.096,5653.0
2020-04-29 12:06:00,90.1,90.12,89.97,90.0,33177.0
2020-04-29 12:07:00,90.0,90.06,90.0,90.025,9598.0
2020-04-29 12:08:00,90.025,90.025,89.94,89.94,13535.0
2020-04-29 12:09:00,89.96,89.96,89.87,89.87,12359.0
2020-04-29 12:10:00,89.845,89.92,89.79,89.9,14331.0
2020-04-29 12:11:00,89.915,89.92,89.86,89.9,6910.0
2020-04-29 12:12:00,89.92,89.97,89.91,89.955,11094.0
2020-04-29 12:13:00,89.96,89.96,89.9,89.92,7050.0
2020-04-29 12:14:00,89.93,89.96,89.92,89.96,12564.0
2020-04-29 12:15:00,89.94,89.95,89.89,89.9,10965.0
2020-04-29 12:16:00,89.91,90.11,89.91,90.11,14376.0
2020-04-29 12:17:00,90.12,90.1699,90.03,90.035,14028.0
2020-04-29 12:18:00,90.04,90.0799,89.96,89.98,21576.0
2020-04-29 12:19:00,89.975,90.07,89.9732,90.055,10615.0
2020-04-29 12:20:00,90.06,90.07,90.0,90.05,8826.0
2020-04-29 12:21:00,90.04,90.14,90.04,90.09,23040.0
2020-04-29 12:22:00,90.09,90.14,90.09,90.12,7834.0
2020-04-29 12:23:00,90.14,90.165,90.13,90.15,2588.0
2020-04-29 12:24:00,90.15,90.17,90.13,90.13,5538.0
2020-04-29 12:25:00,90.13,90.1829,90.13,90.1829,6227.0
2020-04-29 12:26:00,90.18,90.18,90.1501,90.155,11854.0
